type,name
meta,PBMCheckBusyFactories
meta,GetThreatsAroundPosition
meta,PBMSortPlatoonsViaPriority
meta,AMAddPlatoon
meta,GetEconomyUsage
meta,OnPlayNoStagingPlatformsVO
meta,SetResourceSharing
meta,OnBrainUnitVeterancyLevel
meta,AIGetLayerPreference
meta,AddBuilderManagers
meta,AddInitialEnemyThreatSorian
meta,AddEnabledEnergyExcessUnit
meta,OnDestroy
meta,InitialAIThread
meta,OnPlayCommanderUnderAttackVO
meta,PBMNumHandlesAvailable
meta,PBMFormAllPlatoons
meta,GetAttackVectors
meta,EvaluateAIPlanList
meta,VOSounds
meta,ReportScore
meta,EconomyMonitor
meta,OnCreateHuman
meta,GetUnitBlueprint
obj,_c_object
obj,RequestingAlliedVictory
obj,EnergyDependingUnitsHead
obj,AIPlansList
obj,EnergyExcessThread
obj,EnergyExcessUnitsEnabled
obj,HQs
obj,BrainType
obj,ConstantEval
obj,UnitBuiltTriggerList
obj,EnergyExcessConverted
obj,PingCallbackList
obj,TriggerList
obj,VeterancyTriggerList
obj,Nickname
obj,IntelTriggerList
obj,Trash
obj,IgnoreArmyCaps
obj,VOTable
obj,DefaultPlan
obj,Army
obj,RepeatExecution
obj,EnergyDepleted
obj,UnitStats
obj,Name
obj,StatsSent
obj,EnergyExcessConsumed
obj,EnergyDependingUnits
obj,EnergyExcessRequired
obj,EnergyExcessUnitsDisabled
